,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
284731,-100.0,-100.0,-63.0
284736,-100.0,-100.0,-62.5
284747,-100.0,-100.0,-62.0
284753,-100.0,-100.0,-61.5
284764,-100.0,-100.0,-61.0
284769,-100.0,-100.0,-60.0
284781,-100.0,-100.0,-59.0
284786,-100.0,-100.0,-58.5
284797,-100.0,-100.0,-58.0
284803,-100.0,-100.0,-57.5
284814,-100.0,-100.0,-57.0
284819,-100.0,-100.0,-56.5
284831,-100.0,-100.0,-56.0
284836,-100.0,-100.0,-55.5
284847,-100.0,-100.0,-55.0
284853,-100.0,-100.0,-54.5
284864,-100.0,-100.0,-54.0
284869,-100.0,-100.0,-53.5
284881,-100.0,-100.0,-53.0
284886,-100.0,-100.0,-53.0
284888,-100.0,-100.0,-53.0
284903,-100.0,-99.5,-53.0
284908,-100.0,-99.0,-53.0
284919,-100.0,-98.75,-53.0
284936,-100.0,-98.5,-53.0
284953,-100.0,-98.25,-53.0
284957,-100.0,-98.0,-53.0
284969,-100.0,-97.33333333333333,-53.0
284986,-100.0,-96.66666666666667,-53.0
284989,-100.0,-96.0,-53.0
285003,-100.0,-96.0,-53.0
285019,-100.0,-96.0,-53.0
285036,-100.0,-96.0,-53.0
285053,-100.0,-96.0,-53.0
285069,-100.0,-96.0,-53.0
285086,-100.0,-96.0,-53.0
285089,-100.0,-96.0,-53.0
285103,-100.0,-95.5,-53.0
285106,-100.0,-95.0,-53.0
285120,-100.0,-94.66666666666667,-53.0
285136,-100.0,-94.33333333333333,-53.0
285139,-100.0,-94.0,-53.0
285153,-100.0,-93.66666666666667,-53.0
285169,-100.0,-93.33333333333333,-53.0
285173,-100.0,-93.0,-53.0
285186,-100.0,-93.0,-53.0
285203,-100.0,-93.0,-53.0
285219,-100.0,-93.0,-53.0
285236,-100.0,-93.0,-53.0
285252,-100.0,-93.0,-53.0
285269,-100.0,-93.0,-53.0
285286,-100.0,-93.0,-53.0
285290,-100.0,-93.0,-53.0
285303,-100.0,-92.5,-53.0
285307,-100.0,-92.0,-53.0
285319,-100.0,-92.0,-53.0
285336,-100.0,-92.0,-53.0
285352,-100.0,-92.0,-53.0
285370,-100.0,-92.0,-53.0
285386,-100.0,-92.0,-53.0
285403,-100.0,-92.0,-53.0
285419,-100.0,-92.0,-53.0
285436,-100.0,-92.0,-53.0
285441,-100.0,-92.0,-53.0
285453,-100.0,-91.5,-53.0
285457,-100.0,-91.0,-53.0
285469,-100.0,-90.66666666666667,-53.0
285486,-100.0,-90.33333333333333,-53.0
285491,-100.0,-90.0,-53.0
285503,-100.0,-89.5,-53.0
285507,-100.0,-89.0,-53.0
